source,class_id,alignment_norm,authenticity_norm,composite_product_classmean,composite_harmonic_classmean
Sys_DiT_ref_cls100_2,7,0.83,0.4,0.35,0.53
Sys_DiT_ref_cls100_2,35,0.72,0.55,0.42,0.62
Sys_DiT_ref_cls100_2,47,0.96,0.8,0.77,0.87
Sys_DiT_ref_cls100_2,64,0.64,0.72,0.46,0.64
Sys_DiT_ref_cls100_2,73,0.63,0.57,0.39,0.59
Sys_DiT_ref_cls100_2,78,0.76,0.48,0.38,0.58
Sys_DiT_ref_cls100_2,90,0.81,0.68,0.57,0.73
Sys_DiT_ref_cls100_2,96,0.8,0.41,0.35,0.52
Sys_DiT_ref_cls100_2,116,0.85,0.77,0.68,0.8
Sys_DiT_ref_cls100_2,126,0.92,0.85,0.78,0.88
Sys_DiT_ref_cls100_2,141,0.96,0.74,0.71,0.82
Sys_DiT_ref_cls100_2,142,0.91,0.4,0.36,0.55
Sys_DiT_ref_cls100_2,156,0.88,0.47,0.42,0.59
Sys_DiT_ref_cls100_2,157,0.92,0.54,0.5,0.68
Sys_DiT_ref_cls100_2,164,0.84,0.32,0.27,0.46
Sys_DiT_ref_cls100_2,169,0.83,0.53,0.46,0.63
Sys_DiT_ref_cls100_2,191,0.74,0.4,0.31,0.5
Sys_DiT_ref_cls100_2,192,0.75,0.51,0.4,0.59
Sys_DiT_ref_cls100_2,194,0.51,0.45,0.25,0.47
Sys_DiT_ref_cls100_2,198,0.76,0.37,0.28,0.48
Sys_DiT_ref_cls100_2,214,0.76,0.37,0.3,0.49
Sys_DiT_ref_cls100_2,223,0.77,0.47,0.36,0.57
Sys_DiT_ref_cls100_2,224,0.78,0.39,0.31,0.5
Sys_DiT_ref_cls100_2,239,0.76,0.38,0.31,0.49
Sys_DiT_ref_cls100_2,241,0.75,0.46,0.37,0.57
Sys_DiT_ref_cls100_2,248,0.76,0.41,0.33,0.52
Sys_DiT_ref_cls100_2,250,0.94,0.4,0.38,0.55
Sys_DiT_ref_cls100_2,252,0.76,0.49,0.42,0.58
Sys_DiT_ref_cls100_2,256,0.94,0.35,0.33,0.5
Sys_DiT_ref_cls100_2,277,0.76,0.37,0.3,0.48
Sys_DiT_ref_cls100_2,279,0.74,0.39,0.3,0.5
Sys_DiT_ref_cls100_2,287,0.81,0.51,0.42,0.61
Sys_DiT_ref_cls100_2,298,0.66,0.5,0.4,0.54
Sys_DiT_ref_cls100_2,300,0.91,0.83,0.78,0.86
Sys_DiT_ref_cls100_2,302,0.98,0.88,0.86,0.92
Sys_DiT_ref_cls100_2,305,0.74,0.63,0.5,0.67
Sys_DiT_ref_cls100_2,316,0.79,0.79,0.71,0.79
Sys_DiT_ref_cls100_2,320,0.86,0.82,0.77,0.84
Sys_DiT_ref_cls100_2,351,0.88,0.73,0.65,0.78
Sys_DiT_ref_cls100_2,381,0.85,0.42,0.36,0.55
Sys_DiT_ref_cls100_2,390,0.73,0.58,0.46,0.65
Sys_DiT_ref_cls100_2,400,0.77,0.55,0.53,0.64
Sys_DiT_ref_cls100_2,409,0.37,0.39,0.16,0.36
Sys_DiT_ref_cls100_2,432,0.74,0.45,0.34,0.53
Sys_DiT_ref_cls100_2,434,0.47,0.54,0.3,0.47
