image_id,source,alignment_score,artifact_score,class_id,alignment_norm,artifact_norm,composite_product_perimage,composite_harmonic_perimage
0,Sys_DiT_ref_1,4.85,3.2,4,0.97,0.64,0.6208,0.7711801242236026
0,Sys_DiT_ref_2,4.85,3.2,4,0.97,0.64,0.6208,0.7711801242236026
0,Sys_DiT_ref_3,4.12,3.85,4,0.8240000000000001,0.77,0.63448,0.7960853199498118
0,User_DiT_1,5.0,4.0,4,1.0,0.8,0.8,0.888888888888889
0,User_DiT_2,5.0,4.0,4,1.0,0.8,0.8,0.888888888888889
0,User_DiT_3,5.0,5.0,4,1.0,1.0,1.0,1.0
1,Sys_DiT_ref_1,4.65,3.85,4,0.93,0.77,0.7161000000000001,0.8424705882352941
1,Sys_DiT_ref_2,4.65,3.85,4,0.93,0.77,0.7161000000000001,0.8424705882352941
1,Sys_DiT_ref_3,4.85,3.2,4,0.97,0.64,0.6208,0.7711801242236026
1,User_DiT_1,5.0,4.0,4,1.0,0.8,0.8,0.888888888888889
1,User_DiT_2,5.0,3.0,4,1.0,0.6,0.6,0.7499999999999999
1,User_DiT_3,5.0,4.0,4,1.0,0.8,0.8,0.888888888888889
2,Sys_DiT_ref_1,4.85,4.92,4,0.97,0.984,0.95448,0.976949846468782
2,Sys_DiT_ref_2,4.85,3.65,4,0.97,0.73,0.7081,0.8330588235294117
2,Sys_DiT_ref_3,4.85,3.92,4,0.97,0.784,0.76048,0.8671379703534778
2,User_DiT_1,5.0,5.0,4,1.0,1.0,1.0,1.0
2,User_DiT_2,5.0,4.0,4,1.0,0.8,0.8,0.888888888888889
2,User_DiT_3,5.0,4.0,4,1.0,0.8,0.8,0.888888888888889
3,Sys_DiT_ref_1,4.15,3.25,4,0.8300000000000001,0.65,0.5395000000000001,0.7290540540540542
3,Sys_DiT_ref_2,4.15,2.3,4,0.8300000000000001,0.45999999999999996,0.38180000000000003,0.591937984496124
3,Sys_DiT_ref_3,4.85,3.92,4,0.97,0.784,0.76048,0.8671379703534778
3,User_DiT_1,5.0,4.0,4,1.0,0.8,0.8,0.888888888888889
3,User_DiT_2,5.0,4.0,4,1.0,0.8,0.8,0.888888888888889
3,User_DiT_3,5.0,4.0,4,1.0,0.8,0.8,0.888888888888889
4,Sys_DiT_ref_1,4.65,3.85,4,0.93,0.77,0.7161000000000001,0.8424705882352941
4,Sys_DiT_ref_2,4.35,3.85,4,0.8699999999999999,0.77,0.6698999999999999,0.8169512195121951
4,Sys_DiT_ref_3,4.35,3.85,4,0.8699999999999999,0.77,0.6698999999999999,0.8169512195121951
4,User_DiT_1,5.0,3.0,4,1.0,0.6,0.6,0.7499999999999999
4,User_DiT_2,5.0,4.0,4,1.0,0.8,0.8,0.888888888888889
4,User_DiT_3,4.38,3.0,4,0.876,0.6,0.5256,0.7121951219512195
