image_name,class_id,class_name,User_1_alignment,User_2_alignment,User_3_alignment,User_1_artifact,User_2_artifact,User_3_artifact,alignment_max-min,artifact_max-min
000000.png,4,hammerhead,3.75,1.11,2,4,2,3,2.64,2
000002.png,4,hammerhead,2.5,2,4.17,4,3,4,2.17,1
000003.png,4,hammerhead,3.12,1.5,5,4,3,4,3.5,1
000004.png,4,hammerhead,4.29,2,3.33,5,2,3,2.29,3
000005.png,4,hammerhead,2.86,0,0,1,1,1,2.86,0
000006.png,4,hammerhead,2.86,0,5,4,1,2,5,3
000008.png,4,hammerhead,4.17,2.5,2.5,4,2,1,1.67,3
000009.png,4,hammerhead,3.12,2.5,5,5,3,3,2.5,2
000015.png,7,cock,3.18,1.82,5,4,3,3,3.18,1
000017.png,7,cock,2.73,2,4,4,4,2,2,2
000022.png,10,brambling,2.5,2.22,5,3,3,4,2.78,1
000023.png,10,brambling,4.38,2.22,3.75,5,4,4,2.16,1
000026.png,10,brambling,4,2.22,5,3,2,3,2.78,1
000028.png,10,brambling,4.44,2.22,3.57,4,2,2,2.22,2
000029.png,10,brambling,3.5,2.5,5,4,4,2,2.5,2
000030.png,25,European fire salamander,3,4,5,4,4,5,2,1
000035.png,25,European fire salamander,4,2.86,5,3,3,5,2.14,2
000036.png,25,European fire salamander,3.33,2.86,5,3,2,4,2.14,2
000039.png,25,European fire salamander,2.14,2.14,5,2,2,4,2.86,2
000041.png,35,mud turtle,5,0,4,3,1,3,5,2
000042.png,35,mud turtle,3.33,2,5,3,2,5,3,3
000044.png,35,mud turtle,2.5,5,5,3,5,4,2.5,2
000045.png,35,mud turtle,5,5,4,3,5,5,1,2
000048.png,35,mud turtle,4,5,0,4,4,3,5,1
000052.png,39,common iguana,4.29,1.88,4.29,2,3,5,2.41,3
000053.png,39,common iguana,5,1.88,4,4,3,4,3.12,1
000054.png,39,common iguana,4.29,1.25,5,4,2,3,3.75,2
000055.png,39,common iguana,2.22,0.56,3.33,3,3,3,2.77,0
000056.png,39,common iguana,5,3.33,5,5,3,4,1.67,2
000059.png,39,common iguana,5,5,2.5,5,3,3,2.5,2
000064.png,49,African crocodile,3.33,1,2,2,2,4,2.33,2
000065.png,49,African crocodile,3.57,0,0,2,1,0,3.57,2
000066.png,49,African crocodile,3.75,0.5,4,3,2,4,3.5,2
000071.png,51,triceratops,1.88,0,0,4,2,0,1.88,4
000075.png,51,triceratops,4.38,5,3.12,3,5,5,1.88,2
000078.png,51,triceratops,3,0,0,4,1,0,3,4
000079.png,51,triceratops,5,2,5,5,3,4,3,2
000080.png,52,thunder snake,4.17,5,2.86,4,4,5,2.14,1
000082.png,52,thunder snake,3.57,0,0,3,1,0,3.57,3
000083.png,52,thunder snake,3.57,0,0,3,1,0,3.57,3
000084.png,52,thunder snake,3.75,3.12,5,4,4,2,1.88,2
000087.png,52,thunder snake,4.29,5,5,4,4,1,0.71,3
000089.png,52,thunder snake,3.33,0,1.88,1,1,4,3.33,3
000092.png,64,green mamba,5,3.12,2.14,4,3,3,2.86,1
000094.png,64,green mamba,5,2.5,2.78,3,3,1,2.5,2
000096.png,64,green mamba,5,4.17,4.17,3,4,5,0.83,2
000100.png,80,black grouse,2,1.11,0,2,2,0,2,2
000101.png,80,black grouse,4.38,2.5,2.14,4,3,4,2.24,1
000102.png,80,black grouse,5,2.22,1.11,5,4,4,3.89,1
000103.png,80,black grouse,4.38,3.33,3.12,3,4,1,1.26,3
000105.png,80,black grouse,4.38,4.44,3.57,3,5,4,0.870000000000001,2
000107.png,80,black grouse,5,1.67,2.14,4,4,3,3.33,1
000110.png,97,drake,3.33,4.17,3.33,3,4,2,0.84,2
000123.png,106,wombat,5,5,2.86,5,5,4,2.14,1
000126.png,106,wombat,4.38,4.38,3.12,3,4,1,1.26,3
000130.png,116,chiton,5,5,0,4,5,0,5,5
000132.png,116,chiton,0,0,5,5,2,3,5,3
000133.png,116,chiton,0,4.44,2.5,5,3,5,4.44,2
000135.png,116,chiton,4.29,5,3.89,5,3,5,1.11,2
000137.png,116,chiton,0,3.89,0,4,3,5,3.89,2
000141.png,118,Dungeness crab,5,4.38,2.78,5,4,5,2.22,1
000142.png,118,Dungeness crab,4.17,3.57,3.33,5,3,3,0.84,2
000143.png,118,Dungeness crab,2.22,0,2.78,2,3,1,2.78,2
000144.png,118,Dungeness crab,3.12,0,2.22,3,2,2,3.12,1
000147.png,118,Dungeness crab,1.11,0,0,2,1,0,1.11,2
000148.png,118,Dungeness crab,3.75,3.12,3.89,4,3,2,0.77,2
000149.png,118,Dungeness crab,0,0,0.56,5,5,3,0.56,2
000151.png,129,spoonbill,5,4.29,2.78,5,5,5,2.22,0
000152.png,129,spoonbill,3.75,2.86,1.11,3,3,3,2.64,0
000153.png,129,spoonbill,4.29,2.5,2.22,3,4,4,2.07,1
000154.png,129,spoonbill,5,2.78,3.89,4,4,5,2.22,1
000159.png,129,spoonbill,5,4.17,2.78,4,4,5,2.22,1
000162.png,144,pelican,3.57,1.11,3.57,3,3,3,2.46,0
000163.png,144,pelican,5,2.78,4.17,3,3,4,2.22,1
000164.png,144,pelican,4.38,2.22,3.57,4,3,3,2.16,1
000165.png,144,pelican,2.5,5,5,5,3,3,2.5,2
000167.png,144,pelican,5,1.67,2.86,4,4,2,3.33,2
000168.png,144,pelican,4.29,0.56,1.11,4,2,3,3.73,2
000169.png,144,pelican,4.38,2.78,4.38,5,4,3,1.6,2
000170.png,147,grey whale,5,0,0,4,2,3,5,2
000171.png,147,grey whale,5,0,0,4,3,3,5,1
