image_name,class_id,class_name,User_1_artifact,User_2_artifact,User_3_artifact,artifact_mean,artifact_max-min
000995.png,999,toilet tissue,4,5,0,3.0,5
000964.png,983,scuba diver,5,5,0,3.33,5
000397.png,415,bakery,4,5,0,3.0,5
000931.png,972,cliff,5,5,0,3.33,5
000330.png,394,sturgeon,2,5,0,2.33,5
000398.png,415,bakery,4,5,0,3.0,5
000905.png,962,meat loaf,4,5,0,3.0,5
000130.png,116,chiton,4,5,0,3.0,5
000906.png,962,meat loaf,5,3,0,2.67,5
000902.png,962,meat loaf,5,5,0,3.33,5
000990.png,999,toilet tissue,4,2,0,2.0,4
000423.png,426,barometer,4,3,0,2.33,4
000416.png,421,bannister,4,2,0,2.0,4
000071.png,51,triceratops,4,2,0,2.0,4
000924.png,971,bubble,4,4,0,2.67,4
000277.png,347,bison,4,3,0,2.33,4
000552.png,535,disk brake,3,1,5,3.0,4
000424.png,426,barometer,3,4,0,2.33,4
000285.png,356,weasel,4,2,0,2.0,4
000441.png,432,bassoon,4,2,0,2.0,4
000429.png,426,barometer,3,4,0,2.33,4
000078.png,51,triceratops,4,1,0,1.67,4
000900.png,962,meat loaf,5,4,1,3.33,4
000992.png,999,toilet tissue,4,3,0,2.33,4
000991.png,999,toilet tissue,5,3,1,3.0,4
000981.png,991,coral fungus,4,3,0,2.33,4
000993.png,999,toilet tissue,5,5,1,3.67,4
000177.png,147,grey whale,5,2,1,2.67,4
000196.png,156,Blenheim spaniel,4,4,0,2.67,4
000907.png,962,meat loaf,5,4,1,3.33,4
000428.png,426,barometer,3,4,0,2.33,4
000241.png,330,wood rabbit,4,0,0,1.33,4
000178.png,147,grey whale,5,1,1,2.33,4
000419.png,421,bannister,3,2,0,1.67,3
000333.png,394,sturgeon,2,5,2,3.0,3
000352.png,400,academic gown,2,4,1,2.33,3
000359.png,400,academic gown,5,4,2,3.67,3
000358.png,400,academic gown,1,3,0,1.33,3
000353.png,400,academic gown,2,3,0,1.67,3
000004.png,4,hammerhead,5,2,3,3.33,3
000348.png,396,lionfish,1,0,3,1.33,3
000406.png,419,Band Aid,3,3,0,2.0,3
000403.png,419,Band Aid,2,3,0,1.67,3
000402.png,419,Band Aid,2,3,0,1.67,3
000400.png,419,Band Aid,3,2,5,3.33,3
000938.png,972,cliff,4,4,1,3.0,3
000103.png,80,black grouse,3,4,1,2.67,3
000089.png,52,thunder snake,1,1,4,2.0,3
000087.png,52,thunder snake,4,4,1,3.0,3
000774.png,810,space bar,3,2,5,3.33,3
000759.png,756,rain barrel,3,2,5,3.33,3
000483.png,461,breastplate,3,1,4,2.67,3
000904.png,962,meat loaf,4,5,2,3.67,3
000835.png,920,traffic light,1,3,0,1.33,3
000439.png,429,baseball,3,3,0,2.0,3
000082.png,52,thunder snake,3,1,0,1.33,3
000083.png,52,thunder snake,3,1,0,1.33,3
000446.png,432,bassoon,2,3,0,1.67,3
000449.png,432,bassoon,2,3,0,1.67,3
000558.png,535,disk brake,4,2,5,3.67,3
000531.png,499,cleaver,2,5,4,3.67,3
000464.png,446,binder,1,3,0,1.33,3
000458.png,443,bib,5,2,3,3.33,3
000467.png,446,binder,4,1,3,2.67,3
000425.png,426,barometer,2,3,0,1.67,3
000319.png,389,barracouta,2,5,2,3.0,3
000126.png,106,wombat,3,4,1,2.67,3
000250.png,333,hamster,3,2,0,1.67,3
000550.png,535,disk brake,3,2,5,3.33,3
000609.png,590,hand-held computer,3,2,5,3.33,3
000132.png,116,chiton,5,2,3,3.33,3
000736.png,746,puck,1,4,3,2.67,3
000814.png,917,comic book,4,2,1,2.33,3
000801.png,903,wig,3,1,4,2.67,3
000737.png,746,puck,3,5,2,3.33,3
000657.png,633,loupe,3,2,5,3.33,3
000627.png,606,iron,2,3,5,3.33,3
000630.png,626,lighter,2,4,5,3.67,3
000640.png,632,loudspeaker,2,3,5,3.33,3
000596.png,585,hair spray,3,1,0,1.33,3
000655.png,633,loupe,4,2,5,3.67,3
000197.png,156,Blenheim spaniel,3,3,0,2.0,3
000739.png,746,puck,1,3,4,2.67,3
000717.png,730,plow,2,3,5,3.33,3
000674.png,645,maypole,1,4,2,2.33,3
000008.png,4,hammerhead,4,2,1,2.33,3
000006.png,4,hammerhead,4,1,2,2.33,3
000052.png,39,common iguana,2,3,5,3.33,3
000384.png,413,assault rifle,1,4,4,3.0,3
000042.png,35,mud turtle,3,2,5,3.33,3
000908.png,962,meat loaf,5,4,2,3.67,3
000957.png,982,groom,2,3,1,2.0,2
000954.png,982,groom,3,3,1,2.33,2
000951.png,982,groom,2,3,1,2.0,2
000039.png,25,European fire salamander,2,2,4,2.67,2
000036.png,25,European fire salamander,3,2,4,3.0,2
000035.png,25,European fire salamander,3,3,5,3.67,2
000029.png,10,brambling,4,4,2,3.33,2
000927.png,971,bubble,2,3,1,2.0,2
000041.png,35,mud turtle,3,1,3,2.33,2
000044.png,35,mud turtle,3,5,4,4.0,2
000045.png,35,mud turtle,3,5,5,4.33,2
000364.png,405,airship,3,5,4,4.0,2
000373.png,406,altar,3,1,3,2.33,2
000374.png,406,altar,4,2,3,3.0,2
000382.png,413,assault rifle,3,2,4,3.0,2
000387.png,413,assault rifle,3,4,5,4.0,2
000394.png,415,bakery,3,5,3,3.67,2
000946.png,981,ballplayer,3,2,1,2.0,2
000009.png,4,hammerhead,5,3,3,3.67,2
000017.png,7,cock,4,4,2,3.33,2
000974.png,985,daisy,5,5,3,4.33,2
000975.png,985,daisy,5,5,3,4.33,2
000979.png,985,daisy,5,5,3,4.33,2
000960.png,983,scuba diver,5,4,3,4.0,2
000711.png,730,plow,4,3,5,4.0,2
000715.png,730,plow,4,3,5,4.0,2
000718.png,730,plow,4,2,2,2.67,2
000719.png,730,plow,4,3,5,4.0,2
000724.png,743,prison,4,2,4,3.33,2
000726.png,743,prison,2,2,4,2.67,2
000671.png,645,maypole,1,3,2,2.0,2
000673.png,645,maypole,3,4,2,3.0,2
000677.png,645,maypole,2,4,2,2.67,2
000679.png,645,maypole,3,5,4,4.0,2
000165.png,144,pelican,5,3,3,3.67,2
000167.png,144,pelican,4,4,2,3.33,2
000168.png,144,pelican,4,2,3,3.0,2
000169.png,144,pelican,5,4,3,4.0,2
000170.png,147,grey whale,4,2,3,3.0,2
000689.png,654,minibus,4,3,5,4.0,2
000694.png,679,necklace,3,2,4,3.0,2
000700.png,687,organ,4,3,5,4.0,2
000701.png,687,organ,3,3,5,3.67,2
000184.png,150,sea lion,4,2,4,3.33,2
000186.png,150,sea lion,4,2,4,3.33,2
000189.png,150,sea lion,2,2,0,1.33,2
000193.png,156,Blenheim spaniel,5,4,3,4.0,2
000646.png,632,loudspeaker,3,4,5,4.0,2
000649.png,632,loudspeaker,2,3,4,3.0,2
000133.png,116,chiton,5,3,5,4.33,2
000135.png,116,chiton,5,3,5,4.33,2
000137.png,116,chiton,4,3,5,4.0,2
000738.png,746,puck,1,3,2,2.0,2
000743.png,755,radio telescope,4,3,2,3.0,2
000744.png,755,radio telescope,4,3,2,3.0,2
000142.png,118,Dungeness crab,5,3,3,3.67,2
000143.png,118,Dungeness crab,2,3,1,2.0,2
000147.png,118,Dungeness crab,2,1,0,1.0,2
000148.png,118,Dungeness crab,4,3,2,3.0,2
000149.png,118,Dungeness crab,5,5,3,4.33,2
000704.png,687,organ,4,2,4,3.33,2
000706.png,687,organ,4,2,4,3.33,2
000707.png,687,organ,4,3,5,4.0,2
000709.png,687,organ,3,3,5,3.67,2
000660.png,634,lumbermill,4,3,2,3.0,2
000662.png,634,lumbermill,5,3,3,3.67,2
000664.png,634,lumbermill,3,2,4,3.0,2
000666.png,634,lumbermill,3,3,5,3.67,2
000669.png,634,lumbermill,2,1,3,2.0,2
000670.png,645,maypole,2,4,2,2.67,2
000206.png,159,Rhodesian ridgeback,2,1,3,2.0,2
000207.png,159,Rhodesian ridgeback,3,4,5,4.0,2
000209.png,159,Rhodesian ridgeback,2,2,0,1.33,2
000211.png,281,tabby cat,5,4,3,4.0,2
000217.png,281,tabby cat,2,4,3,3.0,2
000220.png,300,tiger beetle,2,2,0,1.33,2
000638.png,626,lighter,3,4,5,4.0,2
000641.png,632,loudspeaker,3,5,4,4.0,2
000644.png,632,loudspeaker,4,2,4,3.33,2
000645.png,632,loudspeaker,2,1,0,1.0,2
000179.png,147,grey whale,3,5,5,4.33,2
000182.png,150,sea lion,3,3,5,3.67,2
000183.png,150,sea lion,2,3,4,3.0,2
000579.png,567,frying pan,4,3,5,4.0,2
000595.png,585,hair spray,1,2,0,1.0,2
000601.png,590,hand-held computer,3,5,5,4.33,2
000607.png,590,hand-held computer,1,2,0,1.0,2
000240.png,330,wood rabbit,5,5,3,4.33,2
000244.png,330,wood rabbit,3,5,4,4.0,2
000246.png,330,wood rabbit,4,4,2,3.33,2
000615.png,605,iPod,4,3,5,4.0,2
000617.png,605,iPod,2,2,4,2.67,2
000619.png,605,iPod,3,3,5,3.67,2
000623.png,606,iron,4,3,5,4.0,2
000625.png,606,iron,3,5,5,4.33,2
000626.png,606,iron,4,2,4,3.33,2
000545.png,529,diaper,4,3,5,4.0,2
000548.png,529,diaper,5,3,5,4.33,2
000549.png,529,diaper,3,3,5,3.67,2
000551.png,535,disk brake,3,3,5,3.67,2
000247.png,330,wood rabbit,3,4,2,3.0,2
000254.png,333,hamster,3,5,5,4.33,2
000257.png,333,hamster,5,4,3,4.0,2
000798.png,836,sunglass,4,3,2,3.0,2
