image_id,source,alignment_score,authenticity_score,class_id,alignment_norm,authenticity_norm,composite_product_perimage,composite_harmonic_perimage
0,Sys_VAR_ref_500_1,4.85,4.2,4,0.97,0.8400000000000001,0.8148000000000001,0.9003314917127072
0,Sys_VAR_ref_500_2,4.62,3.85,4,0.924,0.77,0.71148,0.8400000000000001
0,Sys_VAR_ref_500_3,4.85,4.72,4,0.97,0.944,0.9156799999999999,0.9568234064785789
0,User_VAR_500_1,5.0,3.0,4,1.0,0.6,0.6,0.7499999999999999
0,User_VAR_500_2,4.44,3.0,4,0.8880000000000001,0.6,0.5328,0.7161290322580646
0,User_VAR_500_3,5.0,3.0,4,1.0,0.6,0.6,0.7499999999999999
1,Sys_VAR_ref_500_1,4.65,1.82,4,0.93,0.364,0.33852,0.5232148377125193
1,Sys_VAR_ref_500_2,4.65,3.82,4,0.93,0.764,0.71052,0.8388665879574971
1,Sys_VAR_ref_500_3,4.62,2.85,4,0.924,0.5700000000000001,0.52668,0.7050602409638553
1,User_VAR_500_1,5.0,3.0,4,1.0,0.6,0.6,0.7499999999999999
1,User_VAR_500_2,4.44,3.0,4,0.8880000000000001,0.6,0.5328,0.7161290322580646
1,User_VAR_500_3,5.0,3.0,4,1.0,0.6,0.6,0.7499999999999999
4,Sys_VAR_ref_500_1,4.65,3.85,4,0.93,0.77,0.7161000000000001,0.8424705882352941
4,Sys_VAR_ref_500_2,4.68,3.85,4,0.9359999999999999,0.77,0.72072,0.8449237983587339
4,Sys_VAR_ref_500_3,4.85,4.62,4,0.97,0.924,0.89628,0.9464413938753959
4,User_VAR_500_1,5.0,3.0,4,1.0,0.6,0.6,0.7499999999999999
4,User_VAR_500_2,5.0,3.0,4,1.0,0.6,0.6,0.7499999999999999
4,User_VAR_500_3,5.0,3.0,4,1.0,0.6,0.6,0.7499999999999999
6,Sys_VAR_ref_500_1,3.85,1.42,4,0.77,0.284,0.21867999999999999,0.4149525616698292
6,Sys_VAR_ref_500_2,4.35,2.85,4,0.8699999999999999,0.5700000000000001,0.4959,0.6887500000000001
6,Sys_VAR_ref_500_3,4.65,3.85,4,0.93,0.77,0.7161000000000001,0.8424705882352941
6,User_VAR_500_1,5.0,3.0,4,1.0,0.6,0.6,0.7499999999999999
6,User_VAR_500_2,5.0,3.0,4,1.0,0.6,0.6,0.7499999999999999
6,User_VAR_500_3,4.29,3.0,4,0.858,0.6,0.5147999999999999,0.7061728395061727
9,Sys_VAR_ref_500_1,3.85,2.15,4,0.77,0.43,0.3311,0.5518333333333334
9,Sys_VAR_ref_500_2,4.65,2.85,4,0.93,0.5700000000000001,0.5301000000000001,0.7068000000000002
9,Sys_VAR_ref_500_3,4.65,2.85,4,0.93,0.5700000000000001,0.5301000000000001,0.7068000000000002
9,User_VAR_500_1,5.0,3.0,4,1.0,0.6,0.6,0.7499999999999999
9,User_VAR_500_2,5.0,2.0,4,1.0,0.4,0.4,0.5714285714285715
9,User_VAR_500_3,4.38,2.0,4,0.876,0.4,0.35040000000000004,0.5492163009404389
11,Sys_VAR_ref_500_1,4.15,3.65,7,0.8300000000000001,0.73,0.6059,0.7767948717948717
11,Sys_VAR_ref_500_2,4.15,3.85,7,0.8300000000000001,0.77,0.6391000000000001,0.7988750000000001
11,Sys_VAR_ref_500_3,4.12,3.85,7,0.8240000000000001,0.77,0.63448,0.7960853199498118
11,User_VAR_500_1,4.17,3.0,7,0.834,0.6,0.5004,0.697907949790795
11,User_VAR_500_2,4.17,4.0,7,0.834,0.8,0.6672,0.8166462668298654
11,User_VAR_500_3,4.17,4.0,7,0.834,0.8,0.6672,0.8166462668298654
